"Bank","Code","Country","Tag","Currency"
"COMMERZBANK - USD","UGCOBUSD","Uganda","commerzbankusd","UGX"
"NEDBANK","UGNEDZAR","Uganda","nedbank","UGX"
"Polaris bank","076","Nigeria","nedbank","NGN"
"Rand merchant Bank","502","Nigeria","randbank","NGN"
"Globus Bank","103","Nigeria","globusbank","NGN"
"Mobile Money","MPS","Rwanda","mps","RWF"
"National Bank of Rwanda","RW000000","Rwanda","nationalbankrw","RWF"
"I & M bank","RW010000","Rwanda","imbank","RWF"
"BanK of Kigali","RW040000","Rwanda","bankkigali","RWF"
"GT bank","RW070000","Rwanda","gtbankrw","RWF"
"Ecobank","RW100000","Rwanda","ecobankrw","RWF"
"Access Bank","RW115000","Rwanda","accessbankrw","RWF"
"Cogebank","RW130000","Rwanda","cogebank","RWF"
"Urwego Opportinuity Bank","RW145000","Rwanda","urwegobank","RWF"
"Kenya Commercial Bank","RW160000","Rwanda","kenyacommerical","RWF"
"Equity Bank","RW192000","Rwanda","equitybankrw","RWF"
"Agaseke Bank","RW208000","Rwanda","agesekebank","RWF"
"Unguka Bank","RW224000","Rwanda","ungukabank","RWF"
"Banque Populaire du Rwanda","RW400000","Rwanda","banquepopulaire","RWF"
"Banque de Developpement du Rwanda","RW750000","Rwanda","banquedeveloppement","RWF"
"Zigama CSS Bank","RW800000","Rwanda","zigamabank","RWF"
"Standard Bank","Standard","South Africa","standardbanksa","ZAR"
"Capitec Bank","Capitec","South Africa","capitec","ZAR"
"Investec Bank","Investec","South Africa","investecbank","ZAR"
"ABSA","ABSA","South Africa","absa","ZAR"
"African Bank","AfricanBank","South Africa","africabank","ZAR"
"Old Mutual Money Account","OldMutualMoney","South Africa","oldmutual","ZAR"
"Bidvest Bank","Bidvest","South Africa","bidvest","ZAR"
"Discovery Bank","DiscoveryBank","South Africa","discovery","ZAR"
"ATTIJARI BANK TUNIS TN","BSTUTNTTXX","Ivory Coast","attijaribank","XOF"
"Banque Internationale pour lA de lO","CI092100","Ivory Coast","banqueinternationale","XOF"
"BCEAO COTE DIVOIRE","CI000","Ivory Coast","bceao","XOF"
"CO-OPERATtVE BANK LtM|TED","CPOB","Ivory Coast","cooperativebank","XOF"
"Diamond Bank Côte dIvoire","CI158","Ivory Coast","diamondbankci","XOF"
"Ecobank Cote DIvoire","CI059","Ivory Coast","ecobankci","XOF"
"FIRST RAND BANK South Africa","CIFIRSTZA","Ivory Coast","firstrandbank","XOF"
"NABIL BANK LIMITED","NARBNPKAXX","Ivory Coast","nabilbank","XOF"
"SOCIETE GNigerRAL DE MAURITANIE","MA001","Ivory Coast","societegnigerral","XOF"
"Mobile Money","FMM","Ivory Coast","fmm","XOF"
"Mobile Money","MPS","Zambia","mps","ZMW"
"Amole Mobile Money","ETBAMOLE","Ethiopia","amm","ETB"
"Zemen Bank","19","Ethiopia","zemenbank","ETB"
"Wegagaen Bank","18","Ethiopia","wegagaenbank","ETB"
"United Bank","17","Ethiopia","unitedbank","ETB"
"Oromia International Bank","16","Ethiopia","oromiabank","ETB"
"NIB International Bank","15","Ethiopia","nibbank","ETB"
"Lion International Bank","14","Ethiopia","lionbank","ETB"
"Enat Bank","13","Ethiopia","enatbank","ETB"
"Development Bank of Ethiopia","12","Ethiopia","developmentbank-ethiopia","ETB"
"Debub Global Bank","11","Ethiopia","debubglobal-bank","ETB"
"Dashen Bank","10","Ethiopia","dashenbank","ETB"
"Cooperative Bank of Oromia","9","Ethiopia","cooperativebank-oromia","ETB"
"Construction and Business Bank","8","Ethiopia","construction-businessbank","ETB"
"Commercial Bank of Ethiopia","7","Ethiopia","commercialbank-ethiopia","ETB"
"Bunna International Bank","6","Ethiopia","bunnabank","ETB"
"Berhan International Bank","5","Ethiopia","berhanbank","ETB"
"Abyssinia Bank","4","Ethiopia","abyssiniabank","ETB"
"Awash International Bank","3","Ethiopia","awashbank","ETB"
"Addis International Bank","2","Ethiopia","addisbank","ETB"
"Abay Bank S.C.","1","Ethiopia","abaybank","ETB"
"FINCA MICROFINANCE BANK LIMITED","11295332","Tanzania","fincamicrofinance","TZS"
"CRDB BANK LTD","20638300","Tanzania","crdbbank","TZS"
"PEOPLES BANK OF ZANZIBAR LTD","20638800","Tanzania","peoplesbank","TZS"
"STANDARD CHARTERED BANK (T) LTD","99354428","Tanzania","standardcharteredtz","TZS"
"STANBIC BANK (T) LTD","60000066","Tanzania","stanbictz","TZS"
"GT BANK (T) LTD","11321840","Tanzania","gtbanktz","TZS"
"CITIBANK (T) LTD","97723620","Tanzania","citibanktz","TZS"
"DIAMOND TRUST BANK (T) LTD","97723632","Tanzania","diamondtrusttz","TZS"
"AKIBA COMMERCIAL BANK (T) LTD","97906794","Tanzania","akibacomm","TZS"
"EXIM BANK TANZANIA LTD","98080262","Tanzania","eximbanktz","TZS"
"NBC (1997) LTD","20638400","Tanzania","nbc","TZS"
"NATIONAL MICROFINANCE BANK","97723612","Tanzania","nationalbank","TZS"
"HABIB AFRICAN BANK LTD","97723714","Tanzania","habibbanktz","TZS"
"INTERNATIONAL COMMERCIAL BANK (T) LTD","97723712","Tanzania","intercommercial","TZS"
"BARCLAYS BANK (T) LTD","97723718","Tanzania","barclaysbanktz","TZS"
"I & M BANK (T) LTD","98116446","Tanzania","iandmbank","TZS"
"COMMERCIAL BANK OF AFRICA (T) LTD","99055178","Tanzania","commercialbanktz","TZS"
"DAR ES SALAAM STOCK EXCHANGE","27187316","Tanzania","daressalamse","TZS"
"NIC BANK LTD","98116456","Tanzania","nicbanktz","TZS"
"BANK OF BARODA (T) LTD","25548988","Tanzania","barodabanktz","TZS"
"AZANIA BANK LTD","98116452","Tanzania","azaniabank","TZS"
"BANK M (TANZANIA) LTD","25702616","Tanzania","bankmtz","TZS"
"AFRICAN BANK CORP LTD","25522608","Tanzania","africanbanktz","TZS"
"ACCESS BANK (T) LTD","25716848","Tanzania","accessbanktz","TZS"
"BANK OF INDIA (T) LTD","25894404","Tanzania","bankofindiatz","TZS"
"UNITED BANK FOR AFRICA","26194946","Tanzania","ubatz","TZS"
"MKOMBOZI COMMERCIAL BANK LTD","26260012","Tanzania","mkombozi","TZS"
